13.07.2019 10:37:26 ; 13.07.2019; 10:37:26 ; Клапан закрито. ; 2 ; 
13.07.2019 10:37:27 ; 13.07.2019; 10:37:27 ; Завдання 46 : 22222222222222 завершено. ; 2 ; 
13.07.2019 10:37:39 ; 13.07.2019; 10:37:39 ; Розрахунок по наливу 46 : 22222222222222 завершено. ; 2 ; 
13.07.2019 10:37:39 ; 13.07.2019; 10:37:39 ; Завдання 46 : 22222222222222 успішно внесено до БД. ; 2 ; 
13.07.2019 10:47:34 ; 13.07.2019; 10:47:34 ; Завдання 47 : 3333333333333333 завантажено. ; 2 ; 
13.07.2019 10:47:35 ; 13.07.2019; 10:47:35 ; Система готова до наливу. ; 2 ; 
13.07.2019 10:48:26 ; 13.07.2019; 10:48:26 ; Відсутній зв'язок з ПЛК ; 1 ; 
13.07.2019 10:49:10 ; 13.07.2019; 10:49:10 ; Встановлено зв'язок з ПЛК ; 2 ; 
13.07.2019 10:49:11 ; 13.07.2019; 10:49:11 ; Відсутній зв'язок з ПЛК ; 1 ; 
13.07.2019 10:49:12 ; 13.07.2019; 10:49:12 ; Клапан відкрито. ; 2 ; 
13.07.2019 10:49:12 ; 13.07.2019; 10:49:12 ; Клапан закрито. ; 2 ; 
13.07.2019 10:49:12 ; 13.07.2019; 10:49:12 ; Аварія. Клапан не закрився. ; 1 ; 
13.07.2019 10:49:12 ; 13.07.2019; 10:49:12 ; Насос включено. ; 2 ; 
13.07.2019 10:49:12 ; 13.07.2019; 10:49:12 ; Аварія. Відсутній зв'язок з витратоміром. ; 1 ; 
13.07.2019 10:49:12 ; 13.07.2019; 10:49:12 ; Аварія. Відсутній зв'язок з витратоміром. ; 1 ; 
13.07.2019 10:49:16 ; 13.07.2019; 10:49:16 ; Встановлено зв'язок з ПЛК ; 2 ; 
13.07.2019 10:49:17 ; 13.07.2019; 10:49:17 ; Насос виключено. ; 2 ; 
